"","x"
"1",1
"2",2
"3",2
"4",3
"5",4
"6",2
"7",3
"8",4
"9",2
"10",2
"11",4
"12",4
"13",5
"14",6
"15",6
"16",7
"17",8
"18",8
"19",9
"20",9
"21",10
"22",11
"23",12
"24",13
"25",14
"26",15
"27",15
"28",16
"29",14
"30",12
"31",17
"32",18
"33",19
"34",20
"35",15
"36",21
"37",22
"38",23
"39",24
"40",12
"41",24
"42",6
"43",16
"44",24
"45",24
"46",20
"47",6
"48",22
"49",6
"50",25
"51",18
"52",26
"53",27
"54",28
"55",16
"56",29
"57",6
"58",17
"59",6
"60",30
"61",28
"62",6
"63",18
"64",18
"65",6
"66",31
"67",31
"68",32
"69",33
"70",34
"71",35
"72",18
