"","x"
"1",1
"2",2
"3",2
"4",3
"5",3
"6",2
"7",3
"8",3
"9",2
"10",2
"11",3
"12",3
"13",4
"14",1
"15",1
"16",5
"17",6
"18",6
"19",7
"20",7
"21",8
"22",1
"23",8
"24",8
"25",9
"26",10
"27",10
"28",11
"29",9
"30",8
"31",1
"32",12
"33",13
"34",14
"35",10
"36",15
"37",16
"38",17
"39",18
"40",8
"41",18
"42",1
"43",11
"44",18
"45",18
"46",14
"47",1
"48",16
"49",1
"50",16
"51",12
"52",19
"53",20
"54",21
"55",11
"56",22
"57",1
"58",1
"59",1
"60",14
"61",21
"62",1
"63",12
"64",12
"65",1
"66",23
"67",23
"68",1
"69",24
"70",25
"71",25
"72",12
