"","x"
"1",1
"2",2
"3",2
"4",2
"5",2
"6",2
"7",2
"8",2
"9",2
"10",2
"11",2
"12",2
"13",1
"14",1
"15",1
"16",1
"17",3
"18",3
"19",4
"20",4
"21",5
"22",1
"23",5
"24",5
"25",6
"26",5
"27",5
"28",7
"29",6
"30",5
"31",1
"32",1
"33",6
"34",7
"35",5
"36",6
"37",1
"38",5
"39",7
"40",5
"41",7
"42",1
"43",7
"44",7
"45",7
"46",7
"47",1
"48",1
"49",1
"50",1
"51",1
"52",4
"53",1
"54",8
"55",7
"56",1
"57",1
"58",1
"59",1
"60",7
"61",8
"62",1
"63",1
"64",1
"65",1
"66",3
"67",3
"68",1
"69",1
"70",1
"71",1
"72",1
