"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",2
"20",2
"21",2
"22",1
"23",2
"24",2
"25",3
"26",2
"27",2
"28",3
"29",3
"30",2
"31",1
"32",1
"33",3
"34",3
"35",2
"36",3
"37",1
"38",2
"39",3
"40",2
"41",3
"42",1
"43",3
"44",3
"45",3
"46",3
"47",1
"48",1
"49",1
"50",1
"51",1
"52",2
"53",1
"54",1
"55",3
"56",1
"57",1
"58",1
"59",1
"60",3
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
