"","x"
"1",1
"2",2
"3",2
"4",3
"5",4
"6",2
"7",3
"8",4
"9",2
"10",2
"11",4
"12",4
"13",5
"14",1
"15",1
"16",6
"17",7
"18",7
"19",8
"20",8
"21",9
"22",1
"23",10
"24",10
"25",11
"26",12
"27",12
"28",13
"29",11
"30",10
"31",14
"32",15
"33",16
"34",17
"35",12
"36",18
"37",19
"38",20
"39",21
"40",10
"41",21
"42",1
"43",13
"44",21
"45",21
"46",17
"47",1
"48",19
"49",1
"50",19
"51",15
"52",22
"53",23
"54",24
"55",13
"56",25
"57",1
"58",14
"59",1
"60",17
"61",24
"62",1
"63",15
"64",15
"65",1
"66",26
"67",26
"68",27
"69",28
"70",29
"71",30
"72",15
